MSG_TYPE,ERR_CODE,ERR_MSG,TRANSACTION_ID,SCN_KEY,SCN_NAME,LATITUDE,LONGITUDE,DISTANCE,UD_KEY,UD_CONNECTION,UD_HOST,UD_PORT,UD_TRN_X,UD_TRN_Y,UD_TRN_Z,UD_ROT_X,UD_ROT_Y,UD_ROT_Z
5,100,Test,123456,abcdefg,Test Scene 1,124,122,100,ERR_UD1,test1:5555,test1,5555,1,1,1,1,1,1
5,100,Test,123457,ERRSCENEKEY1,Test Scene 2,124,122,100,Ud_1234,test2:5555,test2,5555,1,1,1,1,1,1
5,100,Test,123458,cdefghi,Test Scene 3,124,122,100,ERR_UD2,test3:5555,test3,5555,1,1,1,1,1,1
5,100,Test,123459,ERRSCENEKEY2,Test Scene 4,124,122,100,Ud_1236,test4:5555,test4,5555,1,1,1,1,1,1
5,100,Test,123460,efghijk,Test Scene 5,124,122,100,ERR_UD3,test5:5555,test5,5555,1,1,1,1,1,1
5,100,Test,123461,ERRSCENEKEY3,Test Scene 6,124,122,100,Ud_128,test6:5555,test6,5555,1,1,1,1,1,1
5,100,Test,123462,ERRSCENEKEY4,Test Scene 7,124,122,100,ERR_UD4,test7:5555,test7,5555,1,1,1,1,1,1
5,100,Test,123463,ERRSCENEKEY5,Test Scene 8,124,122,100,Ud_130,test8:5555,test8,5555,1,1,1,1,1,1
5,100,Test,123464,ERRSCENEKEY6,Test Scene 9,124,122,100,ERR_UD5,test9:5555,test9,5555,1,1,1,1,1,1
5,100,Test,123465,ERRSCENEKEY7,Test Scene 10,124,122,100,Ud_132,test10:5555,test10,5555,1,1,1,1,1,1
