MSG_TYPE,ERR_CODE,ERR_MSG,TRANSACTION_ID,SCN_KEY,SCN_NAME,LATITUDE,LONGITUDE,DISTANCE,UD_KEY,UD_TRN_X,UD_TRN_Y,UD_TRN_Z,UD_ROT_X,UD_ROT_Y,UD_ROT_Z
4,100,Test,123456,BADKEY1,Test Scene 1,124.0,122.0,100.0,Ud_123,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123457,BADKEY2,Test Scene 2,124.0,122.0,100.0,Ud_1234,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123458,BADKEY3,Test Scene 3,124.0,122.0,100.0,Ud_1235,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123459,BADKEY4,Test Scene 4,124.0,122.0,100.0,Ud_1236,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123460,BADKEY5,Test Scene 5,124.0,122.0,100.0,Ud_1237,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123461,BADKEY6,Test Scene 6,124.0,122.0,100.0,Ud_128,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123462,BADKEY7,Test Scene 7,124.0,122.0,100.0,Ud_129,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123463,BADKEY8,Test Scene 8,124.0,122.0,100.0,Ud_130,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123464,BADKEY9,Test Scene 9,124.0,122.0,100.0,Ud_131,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123465,BADKEY10,Test Scene 10,124.0,122.0,100.0,Ud_132,1.0,1.0,1.0,1.0,1.0,1.0
